ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,% of exams sat that received DA,HSC Students,Exams Sat,DA,Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
41831,Chifley College Shalvey Campus,Shalvey,2770,Secondary,Major Cities,-33.7308,150.806,65,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-10",827,85,12,3,0,37,39.5,13,11,382,181,201,382,32,32
41832,Model Farms High School,Baulkham Hills,2153,Secondary,Major Cities,-33.7694,150.971,89,0.065,50,775,145,Government,School Single Entity,Department of Education NSW,"U, 7-12",1067,12,26,33,30,68,78,16,16.6,1112,519,593,1111.6,1,40
41833,Girraween High School,Girraween,2145,Secondary,Major Cities,-33.7989,150.944,100,0.384,313,816,138,Government,School Single Entity,Department of Education NSW,7-Dec,1188,0,7,16,77,50,54.5,11,10.7,753,328,425,752.3,0,94
41834,Plumpton High School,Plumpton,2761,Secondary,Major Cities,-33.7481,150.835,72,0.006,3,480,96,Government,School Single Entity,Department of Education NSW,"U, 7-12",944,55,28,14,4,72,75.7,15,16.8,974,480,494,973.8,10,49
41835,Cambridge Park High School,Cambridge Park,2747,Secondary,Major Cities,-33.7522,150.733,68,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",904,67,23,9,1,57,61.7,15,13.7,682,318,364,681.2,15,20
41836,Blaxland High School,Blaxland,2774,Secondary,Major Cities,-33.7542,150.609,87,0.057,33,582,115,Government,School Single Entity,Department of Education NSW,"U, 7-12",1059,13,25,31,30,67,70.3,17,14.8,993,481,512,991.1,5,8
41837,Colo High School,North Richmond,2754,Secondary,Major Cities,-33.5694,150.708,79,0.048,27,564,109,Government,School Single Entity,Department of Education NSW,7-Dec,1010,26,34,28,12,62,62.6,14,12,912,467,445,912,4,9
41838,Chifley College Bidwill Campus,Bidwill,2770,Secondary,Major Cities,-33.7339,150.827,66,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",864,80,16,3,1,56,58.2,15,14.5,623,302,321,622.2,21,44
41839,Crestwood High School,Baulkham Hills,2153,Secondary,Major Cities,-33.7436,150.976,91,0.092,62,674,121,Government,School Single Entity,Department of Education NSW,"U, 7-12",1066,12,25,32,31,65,70.1,15,18.3,967,459,508,966.4,2,40
41840,Jamison High School,South Penrith,2750,Secondary,Major Cities,-33.7753,150.698,75,0.013,7,530,91,Government,School Single Entity,Department of Education NSW,"U, 7-12",968,43,33,18,6,62,68.8,16,15.4,942,497,445,941.6,9,15
41841,Hawkesbury High School,Freemans Reach,2756,Secondary,Major Cities,-33.5595,150.798,71,0.005,1,215,40,Government,School Single Entity,Department of Education NSW,7-Dec,953,50,31,15,4,39,37.8,10,7.4,407,192,215,406.2,9,10
41842,St Clair High School,St Clair,2759,Secondary,Major Cities,-33.7939,150.787,70,,,,,Government,School Single Entity,Department of Education NSW,7-Dec,942,56,30,13,2,47,51.1,8,9.9,675,335,340,675,8,39
41843,Winmalee High School,Winmalee,2777,Secondary,Major Cities,-33.676,150.615,82,0.039,19,482,89,Government,School Single Entity,Department of Education NSW,7-Dec,1050,16,28,31,25,57,59.4,14,10.9,865,434,431,863.5,4,9
41845,Erskine Park High School,Erskine Park,2759,Secondary,Major Cities,-33.808,150.803,78,0.017,9,529,98,Government,School Single Entity,Department of Education NSW,"U, 7-12",978,40,35,19,7,63,70.3,17,16.8,1009,489,520,1008.8,5,31
41846,Quakers Hill High School,Quakers Hill,2763,Secondary,Major Cities,-33.7298,150.896,80,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-10",991,34,33,23,9,67,64.4,17,15.5,866,434,432,866,6,33
41847,Macarthur Girls High School,Parramatta,2150,Secondary,Major Cities,-33.8131,151.012,93,0.089,68,761,139,Government,School Single Entity,Department of Education NSW,7-Dec,1056,18,22,32,28,73,75.7,15,13.6,1115,1115,0,1114.8,0,93
41848,Arthur Phillip High School,Parramatta,2150,Secondary,Major Cities,-33.8164,151.007,75,0.05,40,805,149,Government,School Single Entity,Department of Education NSW,"U, 7-12",965,48,27,18,7,80,82.6,17,16.4,1054,342,712,1054,1,90
41849,Cumberland High School,Carlingford,2118,Secondary,Major Cities,-33.7852,151.037,91,0.09,31,345,62,Government,School Single Entity,Department of Education NSW,7-Dec,1046,18,26,30,25,45,50.9,8,8.9,655,272,383,654,2,73
41850,Riverstone High School,Riverstone,2765,Secondary,Major Cities,-33.6789,150.876,72,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-10",930,57,27,12,4,30,35,12,10.6,344,161,183,344,14,27
41851,Rooty Hill High School,Rooty Hill,2766,Secondary,Major Cities,-33.7708,150.838,73,,,,,Government,School Single Entity,Department of Education NSW,7-Dec,961,48,31,17,4,70,73.8,15,13,1075,554,521,1074.8,5,55
41933,Merriwa Central School,Merriwa,2329,Combined,Outer Regional,-32.1451,150.353,65,,,,,Government,School Single Entity,Department of Education NSW,K-12,876,69,21,7,2,23,24,8,7.1,238,116,122,237.1,24,3
42089,Cessnock High School,Cessnock,2325,Secondary,Inner Regional,-32.843,151.369,,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",871,76,18,5,1,38,55.1,15,15.1,588,274,314,587.2,22,3
42090,Gosford High School,Gosford,2250,Secondary,Major Cities,-33.4172,151.341,99,0.269,263,977,176,Government,School Single Entity,Department of Education NSW,7-Dec,1153,2,10,24,63,69,71.6,14,13.2,1067,502,565,1066.9,2,43
42091,Maitland High School,East Maitland,2323,Secondary,Major Cities,-32.7474,151.597,75,0.02,5,250,44,Government,School Single Entity,Department of Education NSW,"U, 7-12",946,49,30,16,5,69,75.8,24,17.2,978,455,523,977.4,15,5
42092,Maitland Grossmann High School,East Maitland,2323,Secondary,Major Cities,-32.7435,151.592,79,0.061,36,586,107,Government,School Single Entity,Department of Education NSW,"U, 7-12",999,30,33,25,13,80,77.6,20,16,1086,538,548,1085.6,7,6
42093,Muswellbrook High School,Muswellbrook,2333,Secondary,Inner Regional,-32.2687,150.898,70,0.025,8,326,60,Government,School Single Entity,Department of Education NSW,"U, 7-12",902,63,26,9,2,60,66.6,19,16.5,860,411,449,859.2,20,4
42094,Wyong High School,Wyong,2259,Secondary,Major Cities,-33.2813,151.418,70,0.008,2,252,41,Government,School Single Entity,Department of Education NSW,"U, 7-12",946,50,30,16,4,60,63.3,20,17.7,741,348,393,737.5,13,9
42095,Kurri Kurri High School,Kurri Kurri,2327,Secondary,Major Cities,-32.8101,151.486,68,0.004,1,233,49,Government,School Single Entity,Department of Education NSW,"U, 7-12",903,67,25,7,2,66,65.9,20,14.5,787,376,411,782.4,18,3
42096,Singleton High School,Singleton,2330,Secondary,Inner Regional,-32.5697,151.178,72,0.014,7,500,103,Government,School Single Entity,Department of Education NSW,"U, 7-12",923,57,28,11,3,82,82.9,21,19,1117,560,557,1106.7,17,4
42097,Belmont High School,Belmont,2280,Secondary,Major Cities,-33.0262,151.662,74,0.041,18,436,88,Government,School Single Entity,Department of Education NSW,"U, 7-12",968,43,31,18,8,64,65.3,19,15.9,869,439,430,860.7,9,5
42098,Lake Macquarie High School,Booragul,2284,Secondary,Major Cities,-32.9756,151.614,68,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",893,68,21,9,2,36,40.8,12,12.4,346,170,176,345.1,19,5
42099,Hunter River High School,Heatherbrae,2324,Secondary,Major Cities,-32.7823,151.733,69,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",908,60,27,11,2,61,64.3,23,18.3,836,390,446,834.4,21,4
42100,Hunter Sports High School,Gateshead,2290,Secondary,Major Cities,-32.9864,151.69,73,0.004,1,283,46,Government,School Single Entity,Department of Education NSW,"U, 7-12",926,53,27,14,5,56,58.3,15,14.1,745,325,420,743.6,19,6
42101,Callaghan College Wallsend Campus,Wallsend,2287,Secondary,Major Cities,-32.893,151.669,75,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-10",954,45,32,16,7,75,76.8,23,16.6,1077,546,531,1077,13,11
42102,Tuggerah Lakes Secondary College Tumbi Umbi Campus,Tumbi Umbi,2261,Secondary,Major Cities,-33.3956,151.454,75,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-10",974,39,33,20,8,71,77.4,19,16,1131,547,584,1131,11,8
42103,Wadalba Community School,Wadalba,2259,Combined,Major Cities,-33.2648,151.467,73,0.005,3,569,111,Government,School Single Entity,Department of Education NSW,"U, K-12",958,45,33,16,5,109,111,31,23.3,1593,753,840,1592.6,12,9
42104,Lake Munmorah High School,Lake Munmorah,2259,Secondary,Major Cities,-33.1883,151.57489,67,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",927,60,27,11,2,57,60.8,17,14.7,712,339,373,712,12,5
42105,Kariong Mountains High School,Kariong,2250,Secondary,Major Cities,-33.4304,151.296,76,0.014,4,285,48,Government,School Single Entity,Department of Education NSW,7-Dec,979,40,36,18,6,43,44.1,9,8.1,517,265,252,515.2,5,10
42106,Brisbane Water Secondary College Umina Campus,Umina Beach,2257,Secondary,Major Cities,-33.5074,151.308,77,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-9",964,41,32,19,7,62,67.5,18,19,906,438,468,906,12,10
42107,Swansea High School,Caves Beach,2281,Secondary,Major Cities,-33.1042,151.64,80,0.013,3,230,40,Government,School Single Entity,Department of Education NSW,"U, 7-12",980,35,34,21,10,46,49.2,10,9.9,618,289,329,617,10,6
42108,Whitebridge High School,Whitebridge,2290,Secondary,Major Cities,-32.972,151.712,83,0.029,12,416,74,Government,School Single Entity,Department of Education NSW,"U, 7-12",1015,24,33,25,18,66,71.1,17,16.4,908,406,502,907.2,8,8
42109,Erina High School,Erina,2250,Secondary,Major Cities,-33.4403,151.382,78,0.02,5,252,48,Government,School Single Entity,Department of Education NSW,7-Dec,991,32,33,25,10,48,51.2,13,10.3,692,325,367,692,9,9
42110,Scone High School,Scone,2337,Secondary,Inner Regional,-32.0564,150.872,69,0.015,3,205,34,Government,School Single Entity,Department of Education NSW,"U, 7-12",923,59,29,10,2,33,35.3,13,8,351,177,174,351,13,3
42111,West Wallsend High School,West Wallsend,2286,Secondary,Major Cities,-32.9109,151.582,74,0.013,2,150,29,Government,School Single Entity,Department of Education NSW,"U, 7-12",933,55,30,12,3,49,53.3,17,15.1,600,294,306,597.6,16,4
42112,Morisset High School,Morisset,2264,Secondary,Major Cities,-33.1047,151.487,73,0.008,2,257,53,Government,School Single Entity,Department of Education NSW,"U, 7-12",930,56,29,12,3,52,59.3,21,14.3,719,374,345,713.8,16,7
42113,Kotara High School,Adamstown,2289,Secondary,Major Cities,-32.9471,151.707,87,0.047,27,581,116,Government,School Single Entity,Department of Education NSW,"U, 7-12",1056,16,25,30,28,70,79.2,17,16,1121,547,574,1117.1,3,10
42114,Francis Greenway High School,Beresfield,2322,Secondary,Major Cities,-32.797,151.661,69,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",918,61,28,9,2,55,59.2,23,16.3,683,326,357,682.8,15,7
42115,Warners Bay High School,Warners Bay,2282,Secondary,Major Cities,-32.9677,151.654,86,0.081,61,754,148,Government,School Single Entity,Department of Education NSW,"U, 7-12",1034,19,30,30,20,82,89.2,22,17.6,1294,615,679,1292.2,4,7
42116,Tuggerah Lakes Secondary College The Entrance Campus,Long Jetty,2261,Secondary,Major Cities,-33.3713,151.477,Not Rated,0.014,14,1022,187,Government,School Single Entity,Department of Education NSW,"U, 11-12",,,,,,58,64.8,18,16.1,717,361,356,709.8,11,8
42117,Glendale Technology High School,Glendale,2285,Secondary,Major Cities,-32.9259,151.643,74,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",939,54,29,13,4,57,60.5,17,14.1,774,374,400,773.2,13,5
42118,Henry Kendall High School,Gosford,2250,Secondary,Major Cities,-33.4217,151.335,85,0.065,24,367,70,Government,School Single Entity,Department of Education NSW,"U, 7-12",1011,25,35,26,14,57,62.9,17,16.7,761,376,385,759.4,6,23
42119,Dungog High School,Dungog,2420,Secondary,Inner Regional,-32.3968,151.75,75,0.048,14,291,57,Government,School Single Entity,Department of Education NSW,"U, 7-12",954,48,32,16,4,48,53,14,11.9,633,322,311,631,11,2
42120,Lambton High School,Lambton,2299,Secondary,Major Cities,-32.9179,151.722,85,0.078,45,581,110,Government,School Single Entity,Department of Education NSW,"U, 7-12",1047,18,26,28,28,74,80.7,17,17.4,1161,600,561,1158.1,5,15
42121,Tomaree High School,Salamander Bay,2317,Secondary,Inner Regional,-32.7359,152.112,74,0.009,4,436,70,Government,School Single Entity,Department of Education NSW,"U, 7-12",975,39,33,19,8,83,84.5,25,19.6,1103,498,605,1102.4,8,7
42122,Callaghan College Waratah Campus,Waratah,2298,Secondary,Major Cities,-32.905,151.729,75,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-10",940,52,24,16,8,52,60,19,15.1,794,362,432,794,15,23
42123,Newcastle High School,Hamilton,2303,Secondary,Major Cities,-32.9317,151.758,81,0.009,4,454,94,Government,School Single Entity,Department of Education NSW,"U, 7-12",1022,23,29,27,21,75,83.7,23,19.4,1157,552,605,1154.5,9,10
42124,Merewether High School,Broadmeadow,2292,Secondary,Major Cities,-32.9297,151.735,99,0.288,313,1087,175,Government,School Single Entity,Department of Education NSW,7-Dec,1202,0,7,18,75,67,70.5,15,12.6,1073,487,586,1068.4,2,24
42125,Gorokan High School,Lake Haven,2263,Secondary,Major Cities,-33.2422,151.508,75,0.01,4,420,87,Government,School Single Entity,Department of Education NSW,"U, 7-12",938,52,29,14,5,71,76.8,23,19.6,982,469,513,979,16,8
42126,Terrigal High School,Terrigal,2260,Secondary,Major Cities,-33.4422,151.429,83,0.013,9,707,133,Government,School Single Entity,Department of Education NSW,"U, 7-12",1035,16,31,33,19,64,67.2,17,14.4,960,490,470,958.5,5,8
42127,Lisarow High School,Lisarow,2250,Secondary,Major Cities,-33.3853,151.37,78,0.01,4,405,79,Government,School Single Entity,Department of Education NSW,"U, 7-12",1007,27,34,27,12,56,61.3,11,14.1,815,396,419,812.6,5,9
42128,Northlakes High School,San Remo,2262,Secondary,Major Cities,-33.2168,151.513,69,0.013,4,306,55,Government,School Single Entity,Department of Education NSW,"U, 7-12",906,64,27,8,1,67,70.7,21,17.1,818,383,435,814,18,6
42129,Irrawang High School,Raymond Terrace,2324,Secondary,Major Cities,-32.7615,151.767,73,0.016,4,251,47,Government,School Single Entity,Department of Education NSW,"U, 7-12",929,54,30,12,3,59,69.1,16,17,905,448,457,904.2,17,3
42130,Tuggerah Lakes Secondary College Berkeley Vale Campus,Berkeley Vale,2261,Secondary,Major Cities,-33.3417,151.425,77,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-10",964,42,31,19,7,53,58.2,18,15.7,788,394,394,788,13,6
42131,Rutherford Technology High School,Rutherford,2320,Secondary,Major Cities,-32.7112,151.531,69,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",903,64,27,8,1,77,87.6,27,21.8,1128,557,571,1128,19,6
42132,Mount View High School,Cessnock West,2325,Secondary,Inner Regional,-32.828,151.333,70,0.023,9,398,66,Government,School Single Entity,Department of Education NSW,"U, 7-12",922,59,28,11,2,69,70.4,19,15.4,961,499,462,957.5,15,3
42133,Kincumber High School,Kincumber,2251,Secondary,Major Cities,-33.4649,151.383,84,0.042,24,566,96,Government,School Single Entity,Department of Education NSW,"U, 7-12",1028,20,32,31,17,68,75.1,18,18.8,996,515,481,995.4,5,6
42134,Narara Valley High School,Narara,2250,Secondary,Major Cities,-33.3984,151.334,76,0.021,10,482,94,Government,School Single Entity,Department of Education NSW,"U, 7-12",983,37,33,20,9,66,66.6,19,15.9,851,431,420,849.1,8,10
42135,Hunter School of Performing Arts,Broadmeadow,2292,Combined,Major Cities,-32.9248,151.728,91,0.135,100,740,146,Government,School Single Entity,Department of Education NSW,K-12,1079,9,22,30,38,67,76.6,17,13.8,1131,836,295,1128.1,4,9
42136,Cardiff High School,Cardiff,2285,Secondary,Major Cities,-32.9514,151.67,77,0.041,10,246,38,Government,School Single Entity,Department of Education NSW,"U, 7-12",976,37,32,21,9,54,57.5,16,13.7,676,337,339,674.9,11,7
42137,Toronto High School,Toronto,2283,Secondary,Major Cities,-33.0088,151.582,77,0.005,2,423,82,Government,School Single Entity,Department of Education NSW,"U, 7-12",955,44,33,17,6,62,70.7,19,15.8,992,488,504,990.7,14,5
42155,Bonalbo Central School,Bonalbo,2469,Combined,Outer Regional,-28.7355,152.624,67,,,,,Government,School Single Entity,Department of Education NSW,"U, K-12",874,66,19,10,4,13,15.9,9,7.9,127,71,56,127,33,11
42158,Norfolk Island Central School,Norfolk Island,2899,Combined,Very Remote,-29.041,167.968,79,,,,,Government,School Single Entity,Department of Education NSW,K-12,1006,23,35,29,13,23,24.5,,,281,132,149,280.2,0,63
42159,Bowraville Central School,Bowraville,2449,Combined,Outer Regional,-30.6453,152.854,67,,,,,Government,School Single Entity,Department of Education NSW,"U, K-12",841,77,18,5,1,23,25.4,12,9.6,185,83,102,185,37,5
42162,Bulahdelah Central School,Bulahdelah,2423,Combined,Inner Regional,-32.4134,152.212,68,,,,,Government,School Single Entity,Department of Education NSW,"U, K-12",919,58,26,12,3,34,38.4,17,8.9,424,205,219,423.8,16,4
42214,Lord Howe Island Central School,Lord Howe Island,2898,Combined,Very Remote,-31.5304,159.069,Not Rated,,,,,Government,School Single Entity,Department of Education NSW,K-12,1049,13,24,33,31,3,3.5,1,0.9,42,21,21,42,5,28
42268,Nimbin Central School,Nimbin,2480,Combined,Inner Regional,-28.5959,153.221,75,,,,,Government,School Single Entity,Department of Education NSW,K-12,963,38,31,20,10,17,24.3,7,6.5,244,120,124,243.9,18,17
42320,Woodenbong Central School,Woodenbong,2476,Combined,Outer Regional,-28.3897,152.61,69,,,,,Government,School Single Entity,Department of Education NSW,"U, K-12",911,55,23,15,7,20,20.1,12,7.9,190,93,97,189.6,30,1
42372,Coffs Harbour High School,Coffs Harbour,2450,Secondary,Inner Regional,-30.3055,153.136,74,0.013,4,303,57,Government,School Single Entity,Department of Education NSW,"U, 7-12",973,39,29,22,10,69,68.5,15,13.4,954,499,455,952.4,9,17
42373,Grafton High School,Grafton,2460,Secondary,Inner Regional,-29.6821,152.933,79,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",942,49,29,15,6,65,68.1,23,18.5,831,404,427,830.6,15,4
42374,Kempsey High School,Kempsey,2440,Secondary,Inner Regional,-31.0694,152.826,66,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",852,74,19,5,1,43,46,12,11.8,461,224,237,461,32,4
42375,"The Rivers Secondary College, Lismore High Campus",Lismore,2480,Secondary,Inner Regional,-28.8208,153.297,71,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",937,52,29,14,5,38,40.7,13,9.8,425,206,219,424.8,15,7
42376,Murwillumbah High School,Murwillumbah,2484,Secondary,Major Cities,-28.3345,153.39,73,0.026,5,190,36,Government,School Single Entity,Department of Education NSW,"U, 7-12",969,44,31,17,8,46,49.5,16,13.8,430,202,228,430,9,7
42377,Taree High School,Taree,2430,Secondary,Inner Regional,-31.9099,152.464,71,0.018,7,387,72,Government,School Single Entity,Department of Education NSW,"U, 7-12",933,51,29,16,5,53,65.6,21,16,881,454,427,877.6,18,4
42378,Casino High School,Casino,2470,Secondary,Inner Regional,-28.8452,153.044,67,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",879,71,20,6,2,53,61.2,21,18.9,620,315,305,619.2,24,2
42379,Macksville High School,Macksville,2447,Secondary,Outer Regional,-30.7149,152.917,76,0.031,7,229,35,Government,School Single Entity,Department of Education NSW,"U, 7-12",954,47,31,16,6,42,42.3,13,10.3,472,228,244,471.4,11,2
42380,Wauchope High School,Wauchope,2446,Secondary,Inner Regional,-31.4509,152.731,68,0.006,2,311,61,Government,School Single Entity,Department of Education NSW,"U, 7-12",912,61,27,10,3,47,49.5,13,13.1,548,284,264,548,17,4
42381,Kyogle High School,Kyogle,2474,Secondary,Inner Regional,-28.6258,153.002,68,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",933,57,28,13,3,33,34.4,12,9.6,313,153,160,313,10,4
42382,Mullumbimby High School,Mullumbimby,2482,Secondary,Inner Regional,-28.5586,153.495,83,0.01,3,307,57,Government,School Single Entity,Department of Education NSW,"U, 7-12",1020,23,32,27,17,52,55.7,19,14.5,638,323,315,635.8,5,13
42383,Ballina Coast High School,Ballina,2478,Secondary,Inner Regional,-28.8666,153.565,72,0.014,4,280,54,Government,School Single Entity,Department of Education NSW,"U, 7-12",957,41,31,19,9,61,68.7,21,18.5,859,371,488,854.3,17,7
42384,"The Rivers Secondary College, Richmond River High Campus",North Lismore,2480,Secondary,Inner Regional,-28.7988,153.28,74,0.033,12,362,63,Government,School Single Entity,Department of Education NSW,"U, 7-12",977,39,31,20,10,51,55.3,14,12.3,700,339,361,698.8,11,7
42385,Bellingen High School,Bellingen,2454,Secondary,Outer Regional,-30.4551,152.908,81,0.069,20,290,52,Government,School Single Entity,Department of Education NSW,7-Dec,1005,25,33,25,17,44,45.3,16,9.1,574,292,282,574,10,6
42386,Camden Haven High School,Laurieton,2443,Secondary,Inner Regional,-31.6394,152.736,76,0.019,7,361,66,Government,School Single Entity,Department of Education NSW,7-Dec,956,45,30,17,8,118,145.7,22,23.5,1047,504,543,1042.6,13,2
42387,Banora Point High School,Banora Point,2486,Secondary,Major Cities,-28.2155,153.525,76,0.032,9,282,53,Government,School Single Entity,Department of Education NSW,"U, 7-12",967,41,34,18,6,47,50.7,15,11.9,641,290,351,638.4,11,7
42389,Maclean High School,Maclean,2463,Secondary,Inner Regional,-29.4664,153.201,76,0.009,4,446,79,Government,School Single Entity,Department of Education NSW,"U, 7-12",955,45,32,15,8,59,63.5,19,17.1,796,397,399,793.4,13,3
42390,"Hastings Secondary College, Port Macquarie Campus",Port Macquarie,2444,Secondary,Inner Regional,-31.4348,152.92,78,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",964,41,30,20,9,47,58.8,16,12.9,668,331,337,666.9,14,9
42391,Tweed River High School,Tweed Heads South,2486,Secondary,Major Cities,-28.1957,153.541,74,,,,,Government,School Single Entity,Department of Education NSW,7-Dec,944,47,32,16,4,46,52.4,16,11.3,693,352,341,692.7,17,9
42392,Gloucester High School,Gloucester,2422,Secondary,Inner Regional,-32.0167,151.96,75,0.052,12,232,39,Government,School Single Entity,Department of Education NSW,7-Dec,941,53,31,13,4,29,35.4,10,7,379,200,179,376.2,11,2
42393,Wingham High School,Wingham,2429,Secondary,Inner Regional,-31.8674,152.382,72,0.022,6,269,55,Government,School Single Entity,Department of Education NSW,"U, 7-12",926,60,26,10,4,40,44.6,14,9.7,511,245,266,504.5,13,6
42394,South Grafton High School,South Grafton,2460,Secondary,Inner Regional,-29.7142,152.929,69,0.024,4,168,31,Government,School Single Entity,Department of Education NSW,"U, 7-12",898,62,23,10,4,44,54.6,15,14.1,564,247,317,563.6,24,3
42395,Chatham High School,Taree,2430,Secondary,Inner Regional,-31.8958,152.481,66,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",844,76,19,5,1,53,56.7,18,16.5,569,282,287,568,35,2
42396,Dorrigo High School,Dorrigo,2453,Secondary,Outer Regional,-30.3386,152.707,74,,,,,Government,School Single Entity,Department of Education NSW,7-Dec,948,49,27,15,9,19,16.7,7,5.4,137,69,68,131.8,14,10
42397,Orara High School,Coffs Harbour,2450,Secondary,Inner Regional,-30.2828,153.113,70,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",899,62,25,11,3,47,59,16,15.9,623,304,319,619.4,20,16
42398,"The Rivers Secondary College, Kadina High Campus",Goonellabah,2480,Secondary,Inner Regional,-28.8179,153.339,72,0.025,4,159,27,Government,School Single Entity,Department of Education NSW,"U, 7-12",944,46,27,18,8,40,46.5,12,9.4,412,212,200,408.4,21,6
42399,Toormina High School,Toormina,2452,Secondary,Inner Regional,-30.351,153.084,71,0.014,3,212,40,Government,School Single Entity,Department of Education NSW,"U, 7-12",927,52,28,14,5,55,61.5,19,17.7,780,398,382,777.4,19,6
42400,Great Lakes College Forster Campus,Forster,2428,Secondary,Inner Regional,-32.2157,152.528,78,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-10",951,46,32,16,6,46,50.8,19,15.5,594,303,291,594,12,3
42401,Woolgoolga High School,Woolgoolga,2456,Secondary,Inner Regional,-30.1004,153.19,76,0.015,5,345,58,Government,School Single Entity,Department of Education NSW,"U, 7-12",964,42,30,19,8,60,61.2,17,13.1,812,390,422,811.1,12,15
42403,Melville High School,Kempsey,2440,Secondary,Inner Regional,-31.0905,152.824,66,0.009,3,319,57,Government,School Single Entity,Department of Education NSW,"U, 7-12",873,64,23,10,2,56,56,18,16.5,608,308,300,608,33,8
42404,Byron Bay High School,Byron Bay,2481,Secondary,Inner Regional,-28.6676,153.616,81,0.064,25,394,73,Government,School Single Entity,Department of Education NSW,7-Dec,1041,15,28,35,22,56,56.1,14,11.1,774,373,401,772.3,4,15
42405,Alstonville High School,Alstonville,2477,Secondary,Inner Regional,-28.8399,153.434,79,0.037,17,455,82,Government,School Single Entity,Department of Education NSW,"U, 7-12",1016,26,31,25,18,55,56.2,13,11.3,718,368,350,717.6,6,9
42406,Kingscliff High School,Kingscliff,2487,Secondary,Major Cities,-28.2666,153.57,77,0.008,4,489,91,Government,School Single Entity,Department of Education NSW,"U, 7-12",991,30,33,26,12,74,76.9,22,17.6,1041,564,477,1038.8,12,9
42407,Nambucca Heads High School,Nambucca Heads,2448,Secondary,Outer Regional,-30.6408,152.985,70,,,,,Government,School Single Entity,Department of Education NSW,"U, 7-12",910,55,27,12,6,42,46.4,15,11.8,441,229,212,440.4,27,6
42408,Wollumbin High School,Murwillumbah,2484,Secondary,Major Cities,-28.335,153.363,78,0.032,8,252,48,Government,School Single Entity,Department of Education NSW,7-Dec,980,38,31,23,8,40,38.9,13,6.9,404,210,194,404,6,7
42412,Ashford Central School,Ashford,2361,Combined,Outer Regional,-29.3213,151.095,66,,,,,Government,School Single Entity,Department of Education NSW,K-12,837,73,18,6,2,14,17,6,6.9,148,75,73,148,37,3
42415,Barraba Central School,Barraba,2347,Combined,Outer Regional,-30.3824,150.599,66,,,,,Government,School Single Entity,Department of Education NSW,K-12,895,61,28,10,1,16,18,9,6.3,173,80,93,171.6,24,1
42420,Bingara Central School,Bingara,2404,Combined,Outer Regional,-29.8667,150.567,78,,,,,Government,School Single Entity,Department of Education NSW,K-12,932,46,30,15,9,13,18,7,5.6,170,98,72,169.2,22,7
42423,Boggabilla Central School,Boggabilla,2409,Combined,Outer Regional,-28.6166,150.362,Not Rated,,,,,Government,School Single Entity,Department of Education NSW,P-12,640,97,3,0,0,13,13.2,9,6.7,63,32,31,63,98,33
42427,Bundarra Central School,Bundarra,2359,Combined,Outer Regional,-30.1684,151.078,77,,,,,Government,School Single Entity,Department of Education NSW,K-12,905,66,22,10,2,13,14,4,5.4,99,52,47,99,13,3
42431,Collarenebri Central School,Collarenebri,2833,Combined,Remote,-29.5438,148.578,Not Rated,,,,,Government,School Single Entity,Department of Education NSW,K-12,690,93,5,1,1,11,12.5,5,5,82,40,42,81.2,83,1
42439,Emmaville Central School,Emmaville,2371,Combined,Outer Regional,-29.4462,151.602,68,,,,,Government,School Single Entity,Department of Education NSW,K-12,883,63,26,10,2,10,11,5,4.9,90,56,34,90,20,2
