Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,Eligible Year 12 students,Students with ATAR,% students with ATAR
4129,DUNCRAIG SENIOR HIGH SCHOOL,22 SULLIVAN ROAD,DUNCRAIG,WA,6023,22 SULLIVAN ROAD,DUNCRAIG,WA,6023,-31.82190527,115.767131,08 6241 5400,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,331,317,266,294,223,190,,1621,95,1073,32,84.5,190,95,50
1121,IONA PRESENTATION COLLEGE,33 PALMERSTON STREET,MOSMAN PARK,WA,6012,33 PALMERSTON STREET,MOSMAN PARK,WA,6012,-32.00852636,115.7677349,08 9384 0066,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,36,24,17,20,35,36,59,62,,160,171,165,145,126,134,,1190,97,1124,17,87.8,134,91,67.91
1122,ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,BAY VIEW TERRACE,MOSMAN PARK,WA,6012,BAY VIEW TERRACE,MOSMAN PARK,WA,6012,-32.005047,115.767812,08 9285 4100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,49,20,22,24,36,39,71,69,,104,129,132,137,130,147,,1109,100,1197,2,92.7,147,134,91.16
4206,FREMANTLE COLLEGE,LEFROY ROAD,BEACONSFIELD,WA,6162,LEFROY ROAD,BEACONSFIELD,WA,6162,-32.06791,115.76798,08 9338 8900,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,245,270,229,183,154,99,,1180,,,128,64.25,91,28,30.77
1171,SCOTCH COLLEGE,76 SHENTON ROAD,SWANBOURNE,WA,6010,76 SHENTON ROAD,SWANBOURNE,WA,6010,-31.98113329,115.7731945,08 9383 6800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,58,12,22,24,31,34,51,90,,160,176,170,174,203,213,,1418,97,1165,24,85.35,175,130,74.29
1351,FREMANTLE CHRISTIAN COLLEGE,110 ROCKINGHAM ROAD,HAMILTON HILL,WA,6163,110 ROCKINGHAM ROAD,HAMILTON HILL,WA,6163,-32.0843654,115.7751984,08 9430 6635,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y11,22,24,25,24,20,28,19,37,,38,50,29,28,13,,,357,85,1028,,,,,
1042,METHODIST LADIES' COLLEGE,356 STIRLING HIGHWAY,CLAREMONT,WA,6010,356 STIRLING HIGHWAY,CLAREMONT,WA,6010,-31.98701169,115.7755403,08 9384 4000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,13,20,13,22,30,45,63,69,,119,123,129,118,127,128,,1019,99,1150,5,90.55,126,112,88.89
4057,CARINE SENIOR HIGH SCHOOL,51 EVERINGHAM STREET,CARINE,WA,6020,51 EVERINGHAM STREET,CARINE,WA,6020,-31.85299735,115.775848,08 9243 9100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,441,427,377,285,284,201,,2015,94,1088,47,82.35,197,85,43.15
1383,MATER DEI COLLEGE,107 TREETOP AVENUE,EDGEWATER,WA,6027,107 TREETOP AVENUE,EDGEWATER,WA,6027,-31.76466034,115.7765193,08 9405 4777,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,168,148,148,109,129,129,,831,90,1055,104,72.45,129,51,39.53
1041,CHRIST CHURCH GRAMMAR SCHOOL,QUEENSLEA DRIVE,CLAREMONT,WA,6010,QUEENSLEA DRIVE,CLAREMONT,WA,6010,-31.98546117,115.7769868,08 9442 1555,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,34,34,41,45,60,88,93,118,,202,200,199,193,189,192,,1688,100,1180,3,92.5,190,175,92.11
1468,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,193 ST BRIGIDS TERRACE,DOUBLEVIEW,WA,6018,193 ST BRIGIDS TERRACE,DOUBLEVIEW,WA,6018,-31.8985,115.77762,08 9285 1144,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,17,17,25,26,16,29,11,28,,30,24,25,25,21,24,,318,99,1182,,,,,
1388,PORT SCHOOL,62 WHEELER ROAD,HAMILTON HILL,WA,6163,62 WHEELER ROAD,HAMILTON HILL,WA,6163,-32.08300587,115.7782714,08 9335 6323,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,,,,,,,,,,,10,27,32,25,48,,142,Not Rated,936,,,,,
1309,ST STEPHEN'S SCHOOL,100 DOVERIDGE DRIVE,DUNCRAIG,WA,6023,100 DOVERIDGE DRIVE,DUNCRAIG,WA,6023,-31.8192748,115.7806424,08 9243 2100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,141,94,98,108,111,112,123,150,,177,194,177,172,183,194,,2034,95,1118,31,84.75,194,107,55.15
1193,HALE SCHOOL,160 HALE ROAD,WEMBLEY DOWNS,WA,6019,160 HALE ROAD,WEMBLEY DOWNS,WA,6019,-31.91232249,115.7837828,08 9347 9777,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y12,,23,48,48,48,76,75,78,,184,198,210,206,206,194,,1594,99,1165,6,90.35,194,169,87.11
1249,JOHN XXIII COLLEGE,JOHN XXIII AVENUE,MOUNT CLAREMONT,WA,6010,JOHN XXIII AVENUE,MOUNT CLAREMONT,WA,6010,-31.9599189,115.7847988,08 9383 0400,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,83,54,55,56,56,60,60,60,,192,192,189,172,181,169,,1579,97,1170,8,89.5,168,132,78.57
1259,NEWMAN COLLEGE,216 EMPIRE AVENUE,CHURCHLANDS,WA,6018,216 EMPIRE AVENUE,CHURCHLANDS,WA,6018,-31.9231958,115.7873551,08 9204 9444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,100,63,87,80,88,91,95,95,,195,193,203,191,178,172,,1831,93,1114,44,82.7,171,112,65.5
4012,CHURCHLANDS SENIOR HIGH SCHOOL,20 LUCCA STREET,CHURCHLANDS,WA,6018,20 LUCCA STREET,CHURCHLANDS,WA,6018,-31.91728978,115.7899902,08 9441 1700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,417,532,490,477,461,420,,2797,98,1118,22,85.9,415,263,63.37
4122,GREENWOOD COLLEGE,79 COOLIBAH DRIVE,GREENWOOD,WA,6024,79 COOLIBAH DRIVE,GREENWOOD,WA,6024,-31.82628484,115.7914439,08 9235 4300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,187,168,198,187,192,139,,1071,86,1032,86,75.75,125,46,36.8
1368,SETON CATHOLIC COLLEGE,MARCHANT ROAD,SAMSON,WA,6163,MARCHANT ROAD,SAMSON,WA,6163,-32.07269529,115.7933707,08 9331 9600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,188,184,160,161,143,157,,993,89,1038,91,75.35,153,60,39.22
1008,SANTA MARIA COLLEGE,STONEHAM ROAD,ATTADALE,WA,6156,STONEHAM ROAD,ATTADALE,WA,6156,-32.018614,115.795823,08 6330 0200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y05,Y12,,,,,,,97,96,,189,189,184,188,178,176,,1297,97,1117,10,89.35,176,120,68.18
4192,JOSEPH BANKS SECONDARY COLLEGE,40 JOSEPH BANKS BOULEVARD,BANKSIA GROVE,WA,6031,40 JOSEPH BANKS BOULEVARD,BANKSIA GROVE,WA,6031,-31.69867412,115.7965911,08 9303 7400,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,263,257,300,273,215,205,,1513,,,92,74.95,203,51,25.12
4144,WOODVALE SECONDARY COLLEGE,110 WOODVALE DRIVE,WOODVALE,WA,6026,110 WOODVALE DRIVE,WOODVALE,WA,6026,-31.79154969,115.7994712,08 9309 0808,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,250,246,250,256,220,214,,1436,92,1064,77,77.65,211,100,47.39
1406,TRANBY COLLEGE,17 TRANBY DRIVE,BALDIVIS,WA,6171,17 TRANBY DRIVE,BALDIVIS,WA,6171,-32.3405703,115.8002428,08 9524 2424,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,35,38,31,36,52,52,47,56,,57,56,70,63,54,64,,711,90,1066,62,80.3,64,27,42.19
4168,SHENTON COLLEGE,227 STUBBS TERRACE,SHENTON PARK,WA,6008,227 STUBBS TERRACE,SHENTON PARK,WA,6008,-31.95969986,115.803008,08 9366 9100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,428,473,405,385,371,342,,2404,99,1159,14,88.6,343,246,71.72
4034,MELVILLE SENIOR HIGH SCHOOL,18 POTTS STREET,MELVILLE,WA,6156,18 POTTS STREET,MELVILLE,WA,6156,-32.04631125,115.8054613,08 6274 1300,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,275,233,248,225,222,199,,1402,95,1065,61,80.35,197,92,46.7
1487,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,-32.59324476,115.8065154,08 9537 7177,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,40,33,44,42,42,51,51,37,,57,60,50,45,45,40,,637,81,1015,,,,,
1186,THE MONTESSORI SCHOOL,18 MONTESSORI PLACE,KINGSLEY,WA,6026,18 MONTESSORI PLACE,KINGSLEY,WA,6026,-31.81228862,115.8077784,08 9409 9151,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,24,20,18,18,17,18,6,10,,3,9,2,5,2,2,,154,Not Rated,1109,,,,,
4004,BALCATTA SENIOR HIGH SCHOOL,31 POINCAIRE STREET,BALCATTA,WA,6021,31 POINCAIRE STREET,BALCATTA,WA,6021,-31.87551716,115.8122429,08 9345 8200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,146,110,138,120,93,79,,686,,,135,60.4,76,20,26.32
1478,ALTA-1,12 WINTON ROAD,JOONDALUP,WA,6027,PO BOX 301,JOONDALUP DC,WA,6919,-31.78537164,115.8133126,08 9403 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,,,,,,,,,,,346,,,636,57,,1039,,,,,,,
4059,NORTH LAKE SENIOR CAMPUS,188 WINTERFOLD ROAD,KARDINYA,WA,6163,188 WINTERFOLD ROAD,KARDINYA,WA,6163,-32.07350132,115.8137439,08 9314 0444,SOUTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y10,Y12,,,,,,,,,,,,,12,267,98,,377,Not Rated,1026,,,,,
4031,GILMORE COLLEGE,DARGIN PLACE,ORELIA,WA,6167,PO BOX 86,KWINANA,WA,6966,-32.238266,115.814803,08 6595 2700,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,236,227,195,201,177,147,,1183,,,138,52.25,141,23,16.31
1466,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,386 WELLARD ROAD,WELLARD,WA,6170,386 WELLARD ROAD,WELLARD,WA,6170,-32.25710348,115.8149145,08 9439 3499,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,78,59,75,74,71,77,64,71,,89,84,71,75,62,40,,990,93,1056,,,,,
4125,WANNEROO SECONDARY COLLEGE,56 QUARKUM STREET,WANNEROO,WA,6065,56 QUARKUM STREET,WANNEROO,WA,6065,-31.7578766,115.8151333,08 6401 9800,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,262,253,181,176,154,150,,1176,,,131,63.35,148,27,18.24
4134,WARWICK SENIOR HIGH SCHOOL,355 ERINDALE ROAD,WARWICK,WA,6024,355 ERINDALE ROAD,WARWICK,WA,6024,-31.83867535,115.8154291,08 6240 4400,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,144,147,116,115,104,73,,699,84,972,,,,,
1319,PERTH WALDORF SCHOOL,14 GWILLIAM DRIVE,BIBRA LAKE,WA,6163,14 GWILLIAM DRIVE,BIBRA LAKE,WA,6163,-32.09219046,115.8176585,08 9417 3638,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,59,30,27,30,25,29,29,25,,54,52,54,50,34,38,,536,94,1105,,,,,
4074,DONNYBROOK DISTRICT HIGH SCHOOL,10 BENTLEY STREET,DONNYBROOK,WA,6239,10 BENTLEY STREET,DONNYBROOK,WA,6239,-33.57479874,115.8209925,08 9732 4400,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,39,33,33,34,52,27,36,27,,36,39,39,32,,,,427,80,963,,,,,
1593,BOLD PARK COMMUNITY SCHOOL,61-63 POWIS STREET,WEMBLEY,WA,6014,61-63 POWIS STREET,WEMBLEY,WA,6014,-31.92384064,115.8231847,08 9387 5050,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,47,20,26,14,13,19,13,9,,7,12,6,13,9,5,,213,80,1116,,,,,
1203,TELETHON SPEECH & HEARING,36 DODD STREET,WEMBLEY,WA,6014,36 DODD STREET,WEMBLEY,WA,6014,-31.92384064,115.8231847,08 9387 9888,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,4,6,7,6,6,4,3,8,,3,1,5,3,2,7,,65,,,,,,,
1405,DIVINE MERCY COLLEGE,326 YANGEBUP ROAD,YANGEBUP,WA,6164,326 YANGEBUP ROAD,YANGEBUP,WA,6164,-32.12468637,115.8251697,08 9417 3267,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,16,14,13,23,17,23,21,26,,38,41,47,38,37,47,,401,94,1056,,,,,
1437,HOPE CHRISTIAN COLLEGE,86 GOVERNMENT ROAD,ROELANDS,WA,6226,86 GOVERNMENT ROAD,ROELANDS,WA,6226,-33.29288692,115.8278834,08 9726 3613,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,7,19,22,24,26,25,26,26,,38,45,35,30,21,11,,355,86,1024,,,,,
4190,BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 4119,BALDIVIS,WA,6171,-32.334099,115.828418,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,214,222,355,350,311,205,,1657,79,987,134,60.45,205,41,20
1396,KENNEDY BAPTIST COLLEGE,FARRINGTON ROAD,MURDOCH,WA,6150,FARRINGTON ROAD,MURDOCH,WA,6150,-32.073356,115.829647,08 9314 7722,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,208,213,200,183,185,171,,1160,95,1097,12,88.95,167,84,50.3
1178,SERVITE COLLEGE,134 CAPE STREET,TUART HILL,WA,6060,134 CAPE STREET,TUART HILL,WA,6060,-31.90270449,115.8336415,08 9444 6333,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,192,162,182,161,157,155,,1009,89,1032,65,80,152,67,44.08
4002,APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,283,319,270,263,294,236,,1665,98,1111,34,84.3,234,145,61.97
4042,PERTH MODERN SCHOOL,90 ROBERTS ROAD,SUBIACO,WA,6008,90 ROBERTS ROAD,SUBIACO,WA,6008,-31.94506602,115.8363958,08 9392 6855,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,226,222,237,255,246,242,,1428,100,1239,1,97.55,242,242,100
1312,KINGSWAY CHRISTIAN COLLEGE,157 KINGSWAY,DARCH,WA,6065,157 KINGSWAY,DARCH,WA,6065,-31.81156717,115.8374044,08 9302 8777,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,74,77,84,80,85,90,95,91,,119,111,123,120,125,102,,1376,,,50,81.65,102,77,75.49
1333,THE KING'S COLLEGE,170 BERTRAM ROAD,WELLARD,WA,6170,170 BERTRAM ROAD,WELLARD,WA,6170,-32.25439916,115.839073,08 9411 4100,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,47,34,24,36,35,32,32,24,,80,84,67,40,22,32,,589,81,1025,,,,,
1432,EMMANUEL CATHOLIC COLLEGE,122 HAMMOND ROAD,SUCCESS,WA,6164,122 HAMMOND ROAD,SUCCESS,WA,6164,-32.12857818,115.8400696,08 9414 4000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,194,211,200,171,160,162,,1098,90,1036,58,80.8,162,43,26.54
1529,HAVENPORT MSL COLLEGE,1 TICHBORNE STREET,COCKBURN CENTRAL,WA,6164,1 TICHBORNE STREET,COCKBURN CENTRAL,WA,6164,-32.121531,115.84047,08 6189 3521,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y03,Y10,,,,,1,3,4,5,,4,5,1,1,,,,24,,,,,,,
4181,ASHDALE SECONDARY COLLEGE,75 WESTPORT PARADE,DARCH,WA,6065,75 WESTPORT PARADE,DARCH,WA,6065,-31.81162275,115.8414952,08 9302 7100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,355,326,275,287,267,220,,1730,,,75,78.65,218,84,38.53
4110,GIRRAWHEEN SENIOR HIGH SCHOOL,39 CALVERT WAY,GIRRAWHEEN,WA,6064,39 CALVERT WAY,GIRRAWHEEN,WA,6064,-31.83648977,115.8418703,08 9247 0555,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,74,83,76,83,63,57,,436,75,907,,,,,
4141,SCHOOL OF ISOLATED AND DISTANCE EDUCATION,164-194 OXFORD STREET,LEEDERVILLE,WA,6007,PO BOX 455,LEEDERVILLE,WA,6903,-31.93553952,115.8419534,08 9311 1400,NORTH METROPOLITAN,Distance Education,K-12 SCHOOLS,KIN,Y12,2,9,11,13,13,9,15,20,,21,30,48,49,82,82,,404,,,,,,,
1299,CORPUS CHRISTI COLLEGE,MURDOCH DRIVE,BATEMAN,WA,6150,MURDOCH DRIVE,BATEMAN,WA,6150,-32.05699614,115.8429056,08 6332 2500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,236,188,210,196,228,228,,1286,95,1098,28,84.95,228,140,61.4
1100,ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,-31.92706854,115.8431695,08 9201 5200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,92,113,114,132,131,128,,710,83,991,106,71.95,106,47,44.34
4150,LAKELAND SENIOR HIGH SCHOOL,106 SOUTH LAKE DRIVE,SOUTH LAKE,WA,6164,106 SOUTH LAKE DRIVE,SOUTH LAKE,WA,6164,-32.10905514,115.8459137,08 6172 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,108,97,99,103,87,87,,581,78,951,,,,,
4050,BALGA SENIOR HIGH SCHOOL,2 MARKHAM WAY,BALGA,WA,6061,2 MARKHAM WAY,BALGA,WA,6061,-31.85134146,115.8465042,08 9247 0222,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,87,77,109,118,97,83,,571,74,881,,,,,
1288,EMMANUEL CHRISTIAN COMMUNITY SCHOOL,3 SALCOTT ROAD,GIRRAWHEEN,WA,6064,3 SALCOTT ROAD,GIRRAWHEEN,WA,6064,-31.84620429,115.8482622,08 9342 7377,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,54,60,50,60,61,56,48,63,,47,46,36,35,41,16,,673,90,980,,,,,
4036,DIANELLA SECONDARY COLLEGE,180 NOLLAMARA AVENUE,DIANELLA,WA,6059,180 NOLLAMARA AVENUE,DIANELLA,WA,6059,-31.87818209,115.8549027,08 9345 9200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,113,103,93,75,96,70,,550,,,,,,,
4143,LEEMING SENIOR HIGH SCHOOL,AULBERRY PARADE,LEEMING,WA,6149,AULBERRY PARADE,LEEMING,WA,6149,-32.07467304,115.8564902,08 9237 6800 ,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,202,193,184,202,166,144,,1091,98,1071,89,75.6,147,65,44.22
1378,JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL,2 BOYARE AVENUE,MIRRABOOKA,WA,6061,2 BOYARE AVENUE,MIRRABOOKA,WA,6061,-31.85936631,115.8567055,08 9247 2242,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,102,82,81,80,93,98,100,115,,176,154,163,160,155,168,,1727,93,1070,35,84,167,84,50.3
1440,ST GEORGE'S ANGLICAN GRAMMAR SCHOOL,50 WILLIAM STREET,PERTH,WA,6000,50 WILLIAM STREET,PERTH,WA,6000,-31.95409073,115.8570957,08 9312 0800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,59,64,63,81,53,50,,370,98,1148,,,,,
1221,MERCY COLLEGE,CNR BEACH ROAD/MIRRABOOKA AVENUE,KOONDOOLA,WA,6064,CNR BEACH ROAD/MIRRABOOKA AVENUE,KOONDOOLA,WA,6064,-31.84725114,115.8575544,08 9247 9247,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,60,60,61,61,61,64,64,65,,210,180,195,175,192,172,,1620,90,1010,46,82.5,166,57,34.34
1107,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,11,11,22,17,31,40,65,67,,158,185,175,182,174,174,,1312,96,1023,23,85.85,174,108,62.07
1231,CARMEL SCHOOL,123 CRESSWELL ROAD,DIANELLA,WA,6059,123 CRESSWELL ROAD,DIANELLA,WA,6059,-31.89910743,115.8620749,08 9276 1644,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,28,40,33,35,33,26,44,30,,30,35,45,24,40,33,,476,97,1137,13,88.85,33,32,96.97
4184,ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.8641462,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,194,302,243,265,231,183,,1418,83,1012,129,64.05,170,49,28.82
1154,WESLEY COLLEGE,40 COODE STREET,SOUTH PERTH,WA,6151,40 COODE STREET,SOUTH PERTH,WA,6151,-31.97995555,115.865934,08 9368 8000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,77,42,51,49,49,66,68,72,,129,110,105,141,140,145,,1244,98,1143,37,83.9,144,119,82.64
1277,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.867023,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,97,46,50,49,49,59,88,87,,125,139,125,151,143,146,,1354,99,1154,21,86.35,146,120,82.19
1149,MERCEDES COLLEGE,VICTORIA SQUARE,PERTH,WA,6000,VICTORIA SQUARE,PERTH,WA,6000,-31.95623304,115.8670832,08 9323 1323,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,138,158,133,147,123,139,,838,96,1116,15,88.55,139,101,72.66
1343,LANDSDALE CHRISTIAN SCHOOL,77 QUEENSWAY ROAD,LANDSDALE,WA,6065,77 QUEENSWAY ROAD,LANDSDALE,WA,6065,-31.80678912,115.8671747,08 9309 1830,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,19,11,12,10,5,3,7,12,,14,17,15,13,10,4,,152,,,,,,,
4038,MOUNT LAWLEY SENIOR HIGH SCHOOL,65 WOODSOME STREET,MOUNT LAWLEY,WA,6050,65 WOODSOME STREET,MOUNT LAWLEY,WA,6050,-31.92122258,115.8697493,08 9265 1500,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,334,385,344,311,283,239,,1896,97,1101,20,86.45,234,152,64.96
4048,ROSSMOYNE SENIOR HIGH SCHOOL,1 KEITH ROAD,ROSSMOYNE,WA,6148,1 KEITH ROAD,ROSSMOYNE,WA,6148,-32.04626472,115.8705457,08 9235 1600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,394,422,385,379,357,374,,2311,100,1121,16,88.4,368,274,74.46
4049,COMO SECONDARY COLLEGE,20 BRUCE STREET,COMO,WA,6152,20 BRUCE STREET,COMO,WA,6152,-32.00366439,115.8711551,08 9365 2000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,169,163,148,123,131,133,,867,95,1074,87,75.7,126,77,61.11
1152,PENRHOS COLLEGE,6 MORRISON STREET,COMO,WA,6152,6 MORRISON STREET,COMO,WA,6152,-31.99743072,115.8725394,08 9368 9508,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,22,22,24,31,23,48,48,61,,117,133,114,98,110,135,,986,97,1051,4,90.65,135,116,85.93
4043,PINJARRA SENIOR HIGH SCHOOL,16 MCLARTY ROAD,PINJARRA,WA,6208,PO BOX 353,PINJARRA,WA,6208,-32.63343063,115.8726662,08 9531 7000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,155,156,132,121,106,76,,746,77,963,,,,,
